iter	Passed	Remaining
0	57	57175
1	57	28722
2	57	19249
3	58	14523
4	58	11679
5	59	9780
6	59	8443
7	59	7431
8	60	6635
9	60	6001
10	61	5485
11	61	5059
12	61	4686
13	62	4376
14	62	4105
15	62	3863
16	63	3654
17	63	3466
18	63	3298
19	64	3144
20	64	3005
21	64	2879
22	65	2763
23	65	2657
24	65	2557
25	65	2469
26	66	2385
27	66	2309
28	66	2236
29	67	2170
30	67	2107
31	67	2046
32	67	1992
33	68	1943
34	68	1895
35	69	1850
36	69	1807
37	69	1765
38	70	1725
39	70	1687
40	70	1651
41	70	1617
42	71	1586
43	71	1557
44	72	1528
45	72	1501
46	72	1473
47	72	1447
48	73	1422
49	73	1397
50	73	1376
51	74	1354
52	74	1333
53	74	1312
54	75	1292
55	75	1272
56	75	1253
57	76	1235
58	76	1218
59	76	1201
60	76	1185
61	77	1170
62	77	1154
63	77	1139
64	78	1124
65	78	1110
66	78	1096
67	78	1082
68	79	1069
69	79	1056
70	79	1043
71	80	1031
72	80	1020
73	80	1008
74	80	998
75	81	988
76	81	978
77	82	969
78	82	959
79	82	949
80	82	939
81	83	930
82	83	919
83	83	910
84	83	901
85	84	893
86	84	884
87	84	876
88	84	868
89	85	862
90	85	855
91	85	848
92	86	841
93	86	834
94	86	826
95	87	820
96	87	813
97	87	807
98	88	801
99	88	794
100	88	788
101	88	782
102	89	777
103	89	771
104	89	765
105	90	759
106	90	754
107	90	748
108	90	743
109	91	738
110	91	733
111	91	728
112	92	723
113	92	718
114	92	713
115	93	708
116	93	703
117	93	699
118	93	694
119	94	690
120	94	685
121	94	680
122	94	676
123	95	672
124	95	667
125	95	664
126	95	659
127	96	655
128	96	651
129	96	647
130	97	644
131	97	641
132	97	637
133	98	634
134	98	630
135	98	627
136	98	623
137	99	620
138	99	616
139	99	612
140	100	609
141	100	605
142	100	602
143	100	599
144	101	596
145	101	593
146	101	589
147	101	586
148	102	583
149	102	580
150	102	577
151	103	574
152	103	572
153	103	569
154	103	566
155	104	563
156	104	560
157	104	557
158	104	555
159	105	552
160	105	549
161	105	547
162	106	545
163	106	542
164	106	540
165	107	537
166	107	535
167	107	533
168	108	531
169	108	528
170	108	527
171	109	524
172	109	522
173	109	520
174	109	518
175	110	516
176	110	514
177	111	512
178	111	510
179	111	508
180	111	506
181	112	503
182	112	501
183	112	499
184	113	498
185	113	496
186	113	494
187	114	492
188	114	490
189	114	489
190	115	487
191	115	485
192	115	484
193	116	482
194	116	480
195	116	479
196	117	477
197	117	475
198	117	473
199	118	472
200	118	470
201	118	468
202	119	467
203	119	466
204	119	464
205	120	463
206	120	461
207	121	460
208	121	459
209	121	457
210	121	456
211	122	454
212	122	453
213	122	451
214	123	449
215	123	448
216	123	447
217	124	446
218	124	444
219	125	443
220	125	442
221	125	440
222	126	439
223	126	438
224	126	437
225	127	435
226	127	434
227	127	432
228	128	431
229	128	429
230	128	428
231	129	427
232	129	425
233	129	424
234	129	423
235	130	421
236	130	420
237	130	418
238	131	417
239	131	416
240	131	415
241	132	413
242	132	412
243	132	411
244	133	410
245	133	409
246	133	408
247	134	406
248	134	405
249	134	404
250	135	403
251	135	402
252	135	400
253	136	399
254	136	398
255	136	397
256	137	396
257	137	395
258	137	394
259	138	393
260	138	392
261	138	391
262	139	390
263	139	389
264	139	388
265	140	386
266	140	385
267	140	384
268	141	384
269	141	383
270	142	382
271	142	381
272	142	380
273	143	379
274	143	378
275	143	377
276	144	376
277	144	375
278	144	374
279	145	373
280	145	372
281	146	373
282	146	372
283	147	370
284	147	370
285	147	368
286	148	367
287	148	366
288	148	366
289	149	365
290	149	364
291	149	362
292	149	361
293	150	361
294	150	360
295	151	359
296	151	358
297	151	357
298	152	356
299	152	355
300	152	354
301	153	353
302	153	353
303	153	352
304	154	351
305	154	350
306	154	349
307	155	348
308	155	347
309	155	346
310	156	346
311	156	345
312	156	344
313	157	343
314	157	342
315	157	341
316	158	340
317	158	339
318	158	339
319	159	338
320	159	337
321	159	336
322	160	335
323	160	335
324	161	334
325	161	333
326	161	332
327	161	331
328	162	330
329	162	330
330	162	329
331	163	328
332	163	327
333	164	327
334	164	326
335	164	325
336	164	324
337	165	323
338	165	322
339	165	321
340	166	321
341	166	320
342	166	319
343	167	319
344	167	318
345	167	317
346	168	316
347	168	315
348	168	315
349	169	314
350	169	313
351	169	312
352	170	312
353	170	311
354	170	310
355	171	309
356	171	308
357	171	308
358	172	307
359	172	306
360	172	305
361	172	304
362	173	303
363	173	303
364	173	302
365	174	301
366	174	301
367	174	300
368	175	299
369	175	299
370	175	298
371	176	297
372	176	297
373	176	296
374	177	295
375	177	294
376	177	293
377	178	293
378	178	292
379	178	291
380	179	291
381	179	290
382	179	289
383	180	288
384	180	288
385	180	287
386	181	287
387	181	286
388	181	285
389	182	284
390	182	283
391	182	283
392	182	282
393	183	281
394	183	280
395	183	280
396	183	279
397	184	278
398	184	277
399	184	276
400	184	276
401	185	275
402	185	274
403	185	273
404	185	273
405	186	272
406	186	271
407	186	271
408	187	270
409	187	269
410	187	268
411	188	268
412	188	267
413	188	266
414	188	266
415	189	265
416	189	264
417	189	264
418	189	263
419	190	262
420	190	262
421	190	261
422	191	260
423	191	260
424	191	259
425	191	258
426	192	257
427	192	257
428	192	256
429	193	255
430	193	255
431	193	254
432	193	253
433	194	253
434	194	252
435	194	251
436	194	250
437	195	250
438	195	249
439	195	248
440	195	248
441	196	247
442	196	246
443	196	246
444	196	245
445	197	244
446	197	244
447	197	243
448	197	242
449	198	242
450	198	241
451	198	240
452	199	240
453	199	239
454	199	238
455	199	238
456	200	237
457	200	237
458	200	236
459	200	235
460	201	235
461	201	234
462	201	233
463	201	233
464	202	232
465	202	231
466	202	231
467	202	230
468	203	230
469	203	229
470	203	228
471	204	228
472	204	227
473	204	227
474	204	226
475	205	225
476	205	225
477	205	224
478	205	223
479	206	223
480	206	222
481	206	222
482	206	221
483	207	220
484	207	220
485	207	219
486	207	219
487	208	218
488	208	217
489	208	217
490	208	216
491	209	216
492	209	215
493	209	214
494	210	214
495	210	213
496	210	213
497	210	212
498	211	211
499	211	211
500	211	210
501	211	210
502	212	209
503	212	208
504	212	208
505	212	207
506	213	207
507	213	206
508	213	206
509	213	205
510	214	204
511	214	204
512	214	203
513	214	203
514	215	202
515	215	202
516	215	201
517	215	200
518	216	200
519	216	199
520	216	199
521	217	198
522	217	198
523	217	197
524	217	197
525	218	196
526	218	196
527	218	195
528	218	194
529	219	194
530	219	193
531	219	193
532	219	192
533	220	192
534	220	191
535	220	191
536	221	190
537	221	190
538	221	189
539	221	188
540	222	188
541	222	187
542	222	187
543	222	186
544	223	186
545	223	185
546	223	185
547	223	184
548	223	183
549	224	183
550	224	182
551	224	182
552	224	181
553	225	181
554	225	180
555	225	180
556	225	179
557	226	179
558	226	178
559	226	178
560	226	177
561	227	177
562	227	176
563	227	176
564	227	175
565	228	174
566	228	174
567	228	173
568	228	173
569	229	172
570	229	172
571	229	171
572	229	171
573	230	170
574	230	170
575	230	169
576	230	169
577	231	168
578	231	168
579	231	167
580	231	167
581	232	166
582	232	166
583	232	165
584	233	165
585	233	164
586	233	164
587	233	163
588	233	163
589	234	162
590	234	162
591	234	161
592	234	161
593	235	160
594	235	160
595	235	159
596	235	159
597	236	158
598	236	158
599	236	157
600	236	157
601	237	156
602	237	156
603	237	155
604	237	155
605	238	154
606	238	154
607	238	153
608	238	153
609	239	152
610	239	152
611	239	151
612	239	151
613	240	150
614	240	150
615	240	149
616	240	149
617	241	149
618	241	148
619	241	148
620	241	147
621	242	147
622	242	146
623	242	146
624	242	145
625	242	145
626	243	144
627	243	144
628	243	143
629	243	143
630	244	142
631	244	142
632	244	141
633	244	141
634	245	140
635	245	140
636	245	139
637	245	139
638	246	139
639	246	138
640	246	138
641	246	137
642	247	137
643	247	136
644	247	136
645	247	135
646	248	135
647	248	134
648	248	134
649	248	133
650	249	133
651	249	133
652	249	132
653	249	132
654	250	131
655	250	131
656	250	130
657	250	130
658	251	129
659	251	129
660	251	129
661	251	128
662	252	128
663	252	127
664	252	127
665	252	126
666	253	126
667	253	125
668	253	125
669	253	125
